case,call,stage,cache_slots,active_batch,input_lengths,prior_lengths,slots,total_input_tokens,input_form,input_device,distribution,all_logits,baseline_median_ms,optimized_median_ms,speedup
zeros_256,0,prefill,1,1,[256],[0],[0],256,flat,cpu,zeros,False,41.663757496280596,18.84254348988179,2.2111535801232733
zeros_256,1,decode,1,1,[1],[256],[0],1,flat,cpu,zeros,False,25.45740750792902,10.591020502033643,2.403678427687001
maximum_512,0,prefill,1,1,[512],[0],[0],512,tensor32,cpu,maximum,False,41.263483493821695,22.8742780018365,1.8039250677336696
maximum_512,1,decode,1,1,[1],[512],[0],1,tensor32,cpu,maximum,False,25.027538504218683,10.757427997305058,2.3265355353053314
flat_integer_tensor,0,prefill,1,1,[1024],[0],[0],1024,flat_tensor64,cpu,uniform,False,48.90938499011099,42.496725989622064,1.1508977186161338
flat_integer_tensor,1,decode,1,1,[1],[1024],[0],1,flat_tensor64,cpu,uniform,False,25.36133350804448,11.110692998045124,2.2826059105860175
constant_768,0,prefill,1,1,[768],[0],[0],768,lists,cpu,constant,False,41.79981151537504,33.89203149708919,1.2333226917650246
constant_768,1,decode,1,1,[1],[768],[0],1,lists,cpu,constant,False,24.958604510175064,11.006855493178591,2.267550848254795
alternating_1536,0,prefill,1,1,[1536],[0],[0],1536,lists,cpu,alternating,False,66.26653250714298,58.85171100089792,1.125991604664339
alternating_1536,1,decode,1,1,[1],[1536],[0],1,lists,cpu,alternating,False,25.045196001883596,11.251691990764812,2.225904870346633
ramp_3072,0,prefill,1,1,[3072],[0],[0],3072,lists,cpu,ramp,False,134.7776220063679,123.81825099873822,1.08851175750933
ramp_3072,1,decode,1,1,[1],[3072],[0],1,lists,cpu,ramp,False,25.461244003963657,11.930640990613028,2.1341052860442655
uniform_4096,0,prefill,1,1,[4096],[0],[0],4096,lists,cpu,uniform,False,174.42971900163684,164.59211499022786,1.0597695947463404
uniform_4096,1,decode,1,1,[1],[4096],[0],1,lists,cpu,uniform,False,25.829416015767492,12.595634994795546,2.05066406151338
batch_2_tensor64,0,prefill,2,2,"[512, 512]","[0, 0]","[0, 1]",1024,tensor64,cpu,uniform,False,50.80890349927358,43.49535449000541,1.1681455202520241
batch_2_tensor64,1,decode,2,2,"[1, 1]","[512, 512]","[0, 1]",2,tensor64,cpu,uniform,False,25.71285649901256,11.795901984442025,2.179812661458702
